Product/Service,Description,Depends on ,ROADMAP,Owner (Continuity Planning) Stanford Department,"RTO
Vendor Return to Operation",Time to Recover - GSB DS,Category,Platform,Principal Technology,"Principal
Support",Remedy Group,Relationship Manager,Product Owner 1,Product Owner 2,GSB Tech Lead,Ciber Team,Org Owner,Documentation,URL,Alias,Admit,Student,Faculty,Staff/ Admin,Alumni,Infra/ IT,Public,rm,Frequency,"L1
Persona",L2 Persona(e),L1 Process(es),L2 Process(es),AC - Owner,Acctbl Director,DS Mgr,DS SME,Expert Partner (Group),Expert Partner (Person),Related Persona(e)
ACT,Alumni Consulting Team's project application and project assignment tool,,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,CRM,Salesforce,Salesforce,GSB,Application Services,Lisa,Vivek,,,"Ranjith, Himanshi, Bala",SaaS,,,,,,,X,X,,X,Admin,4,Alum,Community Services,Contribute Expertise,,Parthi,RK,UK,Lisa Radloff,Alumni Relations,Susan Austin,Staff|ACT Team
Admissions Application,,,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,Application/Review,Salesforce,Force.com,SE,Application Services,Julia,Julia,,,"Bala, Bineet, Chenji, Gurmeet, Himanshi, Kalaivani, Lakshmi, Manju, Nirmala, Kini, Ramaseshu, Ranjith, Rekha, Saheen, Sandeep, Veena, Vyshali",,,,,X,,,X,X,,,,,Admit,"Applicant, Admit",Submit Application; Make Decision,,Parthi,RK,UK,Julia Zivkovic,"MBA Admissions, MSx",Debbie Bishko,Staff|Admissions (Multiple)
Admissions Application PhD (CollegeNet),3rd party University-sponsored hosted solution for student applications; used by SU undergrad and GSB Sloan/Ph.D. offices starting Fall 2010,,,DS/DES,,,Application / Review,SaaS,Product,Registrar,Application Services,"Julia, Naveen",,,,,SaaS,,https://www.applyweb.com/apply/stanbslo/index.html,,X,,,X,,,,Admin,2,"PhD
Applicant",Applicant,Submit Application,,Parthi,RK,RK,Ursula Kaiser,Ph.D. Program,Dianne Le,Staff|Ph.D. Program
Advising Case Management,Database for MBA program advisors,,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,CRM,Salesforce,Salesforce,GSB,Application Services,Rachel,Katya,Marlen,,,SaaS,,,,,,,X,,,,Admin,4,Student,Administrative,Performance,,Parthi,RK,UK,Katya Kelly,MBA Program,Ashlee Yang,Staff|Student Programs|Advisor
AppPermissions,Utility application for managing authorization to a small subset of legacy applications,,,DS,,,AuthZ,Windows,ASP,SE,Application Services,Raj,Dave,Vivek,,,GSB,,,,,,,,,X,,Utility,10,System,Infrastructure,Authorization,,Vivek,RK,UK,Dave Love,n/a,n/a,n/a
AvayaLive Engage,,,Retiring,DS,,,Synchronous Learning,SaaS,Product,,Digital Learning Solutions,Jing,Fernando C,Jenn G,John,,SaaS,,,,,,,,,,,,,,,,,John,RJ,JY,,,,
Bass Center Monitor (Cisco Digital Signage),3 informational monitors in Bass Center (UCView),,,DS,,,,SaaS,Product,DMS,Media Services?,Ranga,Kim,,,,,,,,,,,,,,X,,7,Public,GSB Engagement,Marketing,,Raj,TH,TC,Bryan McCann,Library?,Tim Colvin,Staff|Marketing
CALL simulation,Online advertising strategy simulation for Jim Lattin,,,DS,,,Learning simulation,SaaS,Forio,,,Ranga,,,,,GSB,,,,,,,,,,,,,,,,,John,RJ,JY,Chris,n/a,n/a,MBA
CAMS (Master Course Assets Database),Database tool for FST to manage assets used in GSB courses,"Tribloom, AWS, Linux, Python, Django, MySQL",,DS,,,Form,Managed Service,Python,,,Elisha,,,,,GSB,,,,,,X,X,,,,Admin,,,,,,Parthi,RK,RK,Carrie Lee,Faculty Support Team,Diane Lee,Staff|Faculty Support Team
Canvas,SaaS Learning Management System platform,,,DS,,,LMS,SaaS,Product,Vendor (Instructure),Digital Learning Solutions,Ranga,John T.,John T.,John T.,,SaaS,,,,,X,X,X,,,,,,System,LMS,Multiple,,John,RJ,JY,John T,n/a,n/a,n/a
CARA,App for requesting/fulfilling research/teaching jobs for students (mainly Ph.D.),,,DS/DES,,,Custom,Linux,Java,Ciber,Application Services,Ursula,Ursula,Julia,,"Chenji, Sandeep",GSB,,https://gsbapps.stanford.edu/cara,,X,X,X,X,,,,Admin,3,Student,Administrative,Financial Aid,Earn Income,Parthi,RK,UK,Ursula Kaiser,Academic Administration,Claudia Morgan,Staff|Academic Administration
Case Studies,Multimedia case study platform,,,DS,,,Learning simulation,,html 5,,,Ranga,,,,,GSB,,,,,,,,,,,,,,,,,John,RJ,JY,Chris,n/a,n/a,MBA|MSx|Ignite|LEAD|Public
Cases,"Repository of case studies, some of which are public & free, some of which are restricted & paid.",,,DS,,,Digital Assets,,"ASP, Alfresco","SE, Kathleen",Application Services,Ranga,Kathleen,,,,GSB,,,,,,,,,,X,Admin,5,"Student,
Alum",Academic; Personal Growth,Coursework; Lifelong Learning,Learn (Take Courses); - ,Adam,MS,MS,Naveen Kanakatte,adist,Margot Sutherland,Staff|Case Writing Office
CES,Centers CRM,,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,CRM,,Salesforce,GSB,Application Services,Lisa,Marlen,,,,SaaS,,,,,,,X,,,,Admin,4,?,?,?,,Parthi,RK,UK,Marlen Wells,CES,?,Staff|CES Team
CES Video Sales,"3rd party hosted site for CES videos, including hooks to stanford's eCommerce solution",,,,,,Digital Assets,,Product,Vendor,,Lisa,,,,,SaaS,,,,,X,X,X,,,,Admin,7,Public,GSB Engagement,?,,n/a,n/a,n/a,?,CES,?,Staff|CES Team
Class Distribution Lists,Utility scripts to create class-based Mailman distribution lists,,,DS,,,Utility,,Perl,Ops,DevOps Infrastructure,Rachel,Elisha,Rachel,,,GSB,,via Google Mail,,,,X,,,X,,Admin,3,Student,Administrative,Communication,,Dave Love,TH,DL,David LeVine,MBA Program,?,Staff|Student Programs
cnimport (CollegeNet),Data import tool from CollegeNet into course eval systems,,,DS/DES/AS,CollegeNet,,Datasync,,.NET,SE,,Ursula,Chris,KC,,,Datasync,,,,,,,X,,X,,Admin,10,System,Data Services,Datasync,,Parthi,RK,UK,Chris Sadlak,Academic Administration,Sarah Stone,Staff|Academic Administration
Coin flip,Probability simulation for Haim Mendelsohn,,,DS,,,Learning simulation,,JS,,,Ranga,,,,,GSB,,,,,,,,,,,,,,,,,John,RJ,JY,Chris,n/a,n/a,LEAD
COMMON,Common utility functions for ASP applications,,,DS,,,Middleware,,ASP,SE,Application Services,Raj,,,,,GSB,,,,,,,,,X,,Utility,10,System,Infrastructure,Application Module,,n/a,RK,UK,Vivek Sinha,n/a,n/a,n/a
Common_UI,Common UI elements for ASP applications,,,DS,,,Website,,HTML,SE,Application Services,Raj,,,,,GSB,,,,,,,,,X,,Utility,10,System,Infrastructure,Application Module,,n/a,RK,UK,?,n/a,n/a,n/a
Conference Programmer,3rd party registration system - Schwab,,,F&H,,,Event Registration,,Product,Vendor,Application Services,Tony,Ursula,Bernadette deRafael,,,GSB,,,,,,,X,,,,Admin,7,Public,GSB Engagement,On-Campus Events,Conference Housing,Parthi,RK,UK,Ursula Kaiser,Schwab Residential Services,Curt Moore,Staff|Facilities & Hospitality|Schwab Residential Services Team
Confluence,Internal IT Wiki & project management site,,Retired,,,,Collaboration,,Product,SE,Application Services,,Max,,,,GSB,,,,,,,X,,X,,Admin,9,System,,,,n/a,,,,,,
Course Evaluations,A dashbboard showing data for course evaluation survey taken by students at end of their course. Quantitive data as well as comments are displayed in the dashboard.,,To Be Retired,DS/DES,,,Reporting,,Tableau,,Application Services,Ursula,Asha,Vivek,,Aravind,,,https://mygsb.stanford.edu/courseeval,,,X,X,,,,,,,Student,Academic,Coursework,Research Courses,Vivek,RK,VS,Asha Wahi,Academic Administration,Vivek Sinha,Staff|Academic Administration?
Course Evaluations (CollegeNet),3rd party University-sponsored hosted solution for course evaluations.,,,DS/DES,,,Application / Review,,Product,SE,Application Services,Ursula,Ursula,Rachel,,,SaaS,,,,,X,X,X,,,,Admin,2,Student,Academic,Coursework,Evaluate Courses,Parthi,RK,UK,Ursula Kaiser,Academic Administration,Sarah Stone,Staff|Academic Administration
Course Listings (MyGSB),"List of currently offered GSB courses with description, instructor, timing, etc. in MyGSB",,,DS,,,Website,,"Salesforce, 
Tableau",SE,Application Services,Rachel,Vivek,Laissa,,"Roopesh, Tabassum, Bala",GSB,,https://mygsb.stanford.edu/mba/academics/catalog/index.cfm?,Course Catalog,,X,X,X,,,,Web,2,Student,Academic,Coursework,Research Courses,Vivek,RK,VS,Vivek Sinha,MBA Program,Ashlee Yang?,Staff|Student Programs|Academic Operations
